0.88,0.11,0.43,-0.16,0,3,3,3
0.82,-0.20,0.52,-0.10,0,3,3,3
0.83,-0.15,0.51,-0.18,0,3,3,3
0.88,0.02,0.41,-0.23,0,3,3,2
0.92,0.19,0.23,-0.25,0,3,3,2
0.92,0.28,0.07,-0.24,0,3,3,2
0.93,0.28,-0.02,-0.22,0,3,3,1
0.95,0.23,-0.07,-0.20,0,3,3,0
0.96,0.16,-0.12,-0.19,0,3,3,0
0.97,0.13,-0.10,-0.19,0,3,3,0
0.98,0.08,-0.07,-0.18,0,3,3,0
0.98,0.04,-0.05,-0.16,0,3,3,0
0.99,0.03,-0.06,-0.13,0,3,3,0
0.99,-0.01,-0.02,-0.10,0,3,3,0
0.99,0.01,-0.01,-0.11,0,3,3,0
0.99,0.04,-0.01,-0.11,0,3,3,0
0.99,0.04,-0.01,-0.12,0,3,3,0
0.99,0.05,-0.01,-0.11,0,3,3,0
0.99,0.04,-0.01,-0.11,0,3,3,1
0.99,0.03,-0.01,-0.11,0,3,3,1
0.99,0.02,-0.01,-0.11,0,3,3,1
0.99,0.01,-0.01,-0.11,0,3,3,1
0.99,0.01,-0.01,-0.11,0,3,3,1
0.99,0.01,-0.01,-0.10,0,3,3,1
1.00,0.01,-0.01,-0.09,0,3,3,1
1.00,0.01,-0.01,-0.07,0,3,3,2
1.00,0.00,-0.00,-0.06,0,3,3,2
1.00,0.00,-0.00,-0.06,0,3,3,2
1.00,0.00,-0.00,-0.07,0,3,3,2
1.00,-0.00,-0.00,-0.07,0,3,3,2
1.00,-0.00,-0.00,-0.07,0,3,3,2
1.00,-0.00,-0.00,-0.07,0,3,3,2
1.00,-0.00,-0.00,-0.06,0,3,3,2
1.00,-0.00,-0.00,-0.07,0,3,3,2
1.00,-0.00,-0.00,-0.07,0,3,3,2
1.00,-0.00,-0.00,-0.07,0,3,3,2
1.00,-0.00,-0.00,-0.07,0,3,3,2
1.00,-0.00,-0.00,-0.07,0,3,3,2
1.00,-0.00,-0.00,-0.06,0,3,3,2
1.00,-0.00,-0.00,-0.01,0,3,3,2
1.00,-0.00,-0.00,0.02,0,3,3,2
1.00,0.00,-0.00,0.03,0,3,3,3
1.00,-0.00,-0.01,0.01,0,3,3,3
1.00,-0.00,-0.00,0.02,0,3,3,3
1.00,-0.00,-0.00,0.02,0,3,3,3
1.00,-0.00,-0.00,0.01,0,3,3,3
1.00,0.01,-0.02,-0.01,0,3,3,3
1.00,0.02,-0.02,-0.01,0,3,3,3
1.00,0.02,-0.02,-0.00,0,3,3,3
1.00,0.01,-0.00,0.01,0,3,3,3
1.00,0.00,0.01,0.01,0,3,3,3
1.00,0.01,-0.01,0.01,0,3,3,3
1.00,0.00,-0.02,0.02,0,3,3,3
1.00,0.01,-0.02,0.01,0,3,3,3
1.00,0.04,0.01,-0.01,0,3,3,3
1.00,0.03,0.01,-0.01,0,3,3,3
1.00,0.02,0.01,-0.00,0,3,3,3
1.00,0.02,-0.00,0.01,0,3,3,3
1.00,0.04,0.00,0.00,0,3,3,3
1.00,0.06,0.01,-0.01,0,3,3,3
1.00,0.06,0.01,-0.02,0,3,3,3
1.00,0.00,-0.01,-0.02,0,3,3,3
1.00,-0.01,-0.02,-0.02,0,3,3,3
1.00,-0.00,-0.02,-0.03,0,3,3,2
1.00,0.02,-0.02,-0.04,0,3,3,2
